岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
行政管理员,辽宁丰洋优选科技服务有限公司,辽宁,4.5-5.1,30,不限,旅游管理 社会学 市场营销 工商管理 电子商务 法学 法律事务 汽车技术服务与营销 民航安全技术 及其它不限专业,民营企业,1-49人,,2026-07-10 06:55,G11Z1metuRf1DtR3Rs1uLs
英语日语法语德语外贸跨境电商亚马逊运营实习生,郑州恒辰电子科技有限公司,河南,4.0-8.0,12,本科及以上,英语 日语 德语 法语 国际贸易 电子商务 国际商务 企业管理 物流管理 商业管理 经济,民营企业,50-99人,,2026-07-09 16:30,N1CGgFanzVbtHr7NhHq4zM
外贸跨境运营实习生,郑州恒辰电子科技有限公司,河南,4.0-6.0,20,本科及以上,国际贸易 商务英语 英语 日语,民营企业,50-99人,,2026-07-09 16:29,SA8NxpJSaJcK8PUDJL9Yqh
日语跨境电商专员助理运营实习生翻译外贸外销,郑州恒辰电子科技有限公司,河南,4.0-8.0,20,本科及以上,,民营企业,50-99人,,2026-07-09 16:29,2VnutxxzVhdBoajhAKC66R
食品加工技术员,上海麦宝食品有限公司,上海,5.0-6.0,30,专科及以上,食品智能加工 机电一体化 电气自动化 机械工程 数控技术,民营企业,100-499人,五险一金，技能培训，提供住宿,2026-07-09 15:03,5j3CwrLBEMcWMf4wReDGgi
财税顾问实习生,云南财当家财务信息咨询有限公司,云南,2.0-5.0,2,专科及以上,财务管理 会计学 国贸 审计 经济学 税收学等相关专业,民营企业,50-99人,五险一金，岗位晋升，技能培训，绩效奖金，节日礼物,2026-07-09 14:21,PJuw9K9kmFDkgxfzEwzdDE
美容师（实习）,广东伊丽汇美容科技有限公司,广东,3.0-10.0,20,专科及以上,医学美容技术 美容美体艺术,民营企业,1000-4999人,岗位晋升，技能培训，股权激励，扁平管理，午餐补助,2026-07-09 14:05,8Xe93eqbDnWAaWC2BpeZY6
总装工艺一线岗,芜湖奇瑞汽车投资有限公司,安徽,5.0-8.0,50,专科及以上,汽车制造与装配技术 新能源汽车技术 智能网联汽车技术 汽车电子技术 汽车制造与试验技术 汽车检测与维修技术 机电一体化技术 工业机器人技术 电气自动化技术 数控技术 智能焊接技术 模具设计与制造 机械制造及自动化 智能制造装备技术 智能控制技术 应用电子技术 电子信息工程技术 储能材料技术 新能源材料应用技术 工业工程技术 现代物流管理 工业设计,民营企业,1000-4999人,五险一金，岗位晋升，定期体检，提供住宿，班车接送,2026-07-09 11:38,PQyCcKzjW2ujiP3eHeGUZe
涂装工艺一线岗,芜湖奇瑞汽车投资有限公司,安徽,5.0-8.0,50,专科及以上,汽车制造与装配技术 新能源汽车技术 智能网联汽车技术 汽车电子技术 汽车制造与试验技术 汽车检测与维修技术 机电一体化技术 工业机器人技术 电气自动化技术 数控技术 智能焊接技术 模具设计与制造 机械制造及自动化 智能制造装备技术 智能控制技术 应用电子技术 电子信息工程技术 计算机应用技术 储能材料技术 新能源材料应用技术 工业工程技术 建筑工程技术 土木工程 工程造价 现代物流管理 工业设计 车辆工程 电气工程,民营企业,1000-4999人,五险一金，岗位晋升，定期体检，提供住宿，班车接送,2026-07-09 11:31,R5WpZga8cgZfjRjLt9uC1U
焊装工艺一线岗,芜湖奇瑞汽车投资有限公司,安徽,5.5-8.0,30,专科及以上,汽车制造与装配技术 新能源汽车技术 机电一体化技术 工业机器人技术 电气自动化 数控技术 智能焊接技术 模具设计 机械制造及自动化 汽车检测与维修技术 建筑工程技术 土木工程 土木水利 建筑装饰工程技术 工程造价 工程测量技术 道路桥梁工程技术 城市轨道交通运营管理 物流管理 机械设计制造 车辆工程 电气工程 材料 储能 电子应用 计算机应用技术 工业设计 智能控制技术 电子信息工程,民营企业,1000-4999人,五险一金，岗位晋升，定期体检，提供住宿，班车接送,2026-07-09 11:23,A6gW56YMCWT1juUe9XyVKc
外贸业务员（应届毕业生）,温州盛开不锈钢有限公司,浙江,5.0-7.0,3,专科及以上,国际经济与贸易 电子商务 商务英语 外国语文学类,民营企业,50-99人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，年度旅游，提供住宿,2026-07-09 10:58,9qdB8NXrJZgzqFL4MPcF2i
AI短剧剪辑,河北竖店影视发展有限公司,全国,8.0-30.0,3000,专科及以上,影视摄影与制作 网络与新媒体 广播电视编导 戏剧影视文学 数字媒体艺术 人工智能软件工程 AI自动化剪辑 动画专业 智能媒体技术,民营企业,50-99人,带薪年假，技能培训，弹性工作，定期体检，绩效奖金，年度旅游，节日礼物,2026-07-09 10:28,LyREGRVnfCS9wVoF4ZdCtf
新菁英优才,中国人寿保险股份有限公司郑州市分公司,河南,10.0-15.0,10,专科及以上,不限 金融 保险 经济 财务管理 会计 法律 医学 旅游 艺术 播音主持,国有企业,5000以上,五险一金，带薪年假，岗位晋升，绩效奖金，年度旅游，住房补助，节日礼物,2026-07-09 10:22,HcSyR5JGB28YvfiGhABgNS
自动化设备维保员,上海麦宝食品有限公司,上海,5.0-6.0,50,专科及以上,食品智能加工 机电一体化 电气自动化 机械工程 数控技术,民营企业,100-499人,五险一金，技能培训，提供住宿,2026-07-09 10:04,GEZcPVfJoocd6eAeubfEsJ
锂电池设备操作可实习,中创新航科技（江门）有限公司,广东,5.8-6.5,100,专科及以上,自动化 高 分子 机电 物流 汽修 智能制造 计算机等,国有企业,5000以上,,2026-07-09 09:04,cF5RRtGZQZtGpFF81HmWQ
短视频线上运营,福建马文五金科技有限责任公司,福建,4.0-5.0,3,专科及以上,,民营企业,1-49人,,2026-07-09 20:10,TL1PFxv3X48btpCKJ9MDzc
8~9k可线上面试实习销售专员+签三方实习,深圳市乐有家房产交易有限公司,广东,8.0-9.0,10,专科及以上,市场营销 工商管理 房地产开发与经营 工程管理 土木工程 经济学 国际经济与贸易 信息管理 土地资源管理 信息与计算科学 旅游管理 农业资源与环境 休闲与体育 社会体育 物联网 电子商务 酒店管理 电子信息与技术 电子信息工程 电子科学与技术 通信工程 临床医学 哲学类 哲学 逻辑学 经济学 经济统计学 财政学 税收学 金融学 金融工程 保险学 投资学贸易经济 法学 政治学类 政治学与行政学 国际经济与贸易,民营企业,5000以上,五险一金，带薪年假，岗位晋升，年终分红，扁平管理，绩效奖金，节日礼物，提供住宿,2026-07-09 16:56,6CHH1Y19QpFgG5c2myemVB
设计师,山东天恒广告装饰工程有限公司,山东,2.0-3.0,1,专科及以上,视觉传达,民营企业,1-49人,,2026-07-09 16:50,VhQEsYp6hWs744Zws8v6Es
人事助理,北京双鹭药业股份有限公司,北京,3.3-3.5,1,本科及以上,人力资源专业 工商管理 劳动关系管理等,上市公司,500-999人,,2026-07-09 16:37,CEq18b8yvMMVCxeVGv8YsS
数据标注师-包住宿-朝九晚六,中穆海诚（嘉兴）科技有限公司,浙江,3.0-4.0,20,专科及以上,计算机大类 人工智能 智能制造 机械大类 不限专业,民营企业,100-499人,,2026-07-09 16:02,FzrKPTBHGm1c8VaWdgZhN9
物流实习生 提供吃住 近期上岗,天津中辉智造企业管理咨询有限公司,天津,4.0-5.0,1,专科及以上,物流,民营企业,1-49人,,2026-07-09 15:45,C3me4RXUPUQVQGMUVUdoPM
苏州日语人事实习生,安斯泰莫（中国）投资有限公司,江苏,3.0-4.0,1,本科及以上,日语、人力资源、理工类,外商独资/外企代表处,5000以上,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，扁平管理，年终奖，午餐补助，高温补贴,2026-07-09 14:54,9QurWS3itJALHKbZHhDqN1
发动机装配 汽车装配,北京福潍动力新能源汽车有限公司,北京,4.0-6.0,50,不限,数控 机电 焊接,民营企业,100-499人,,2026-07-09 14:54,Cjjq8YYberDLRc39Zi5yZU
原画实习生,深圳市九学王信息科技有限公司,湖北,4.0-5.0,5,本科及以上,绘画 视觉传达设计 动画 美术学 产品设计,民营企业,500-999人,五险一金，技能培训，定期体检，年终奖，节日礼物,2026-07-09 13:50,RpJbriNiRiqCBPb1kc7nTb
BMS实习生（沈阳）,利戴工业技术服务（上海）有限公司,辽宁,3.0-3.5,1,专科及以上,机械 机电一体化 电气自动化 机械制造 制冷 暖通,外商独资/外企代表处,1000-4999人,,2026-07-09 13:42,VsJH71jBMKQhk28CSJN1tF
研究咨询实习生,成都市经济发展研究院（ 成都市经济信息中心）,四川,1.0-2.0,8,本科及以上,,机关/事业单位/非营利机构,100-499人,五险一金，带薪年假，定期体检，年终奖，专项奖金，绩效奖金，午餐补助,2026-07-09 12:07,GvhsDyEGdKjugYpQceG8tR
餐饮实习优选-前厅/后厨岗（食宿全包 ）,上海丰之绪餐饮管理有限公司,上海,4.0-5.0,100,不限,烹饪 酒店管理 旅游管理,民营企业,1000-4999人,岗位晋升,2026-07-09 11:08,4maLzR3MTjC42hJ6fLHkwr
