岗位名称,单位名称,省份,月薪范围(k),招聘人数,学历要求,专业要求,单位性质,单位规模,福利标签,发布时间,职位ID
测试技术员,赣州移远科技有限公司,江西,4.3-5.5,7,专科及以上,机电类、自动化类、机械类、物联网及计算机类、工业工程、工业机器人类，电气类，仪器仪表类等理工相关专业,民营企业,1000-4999人,,2026-07-08 10:50,Eb4ywZSyBWYebyDkXh2eNZ
实习生-厨务 Trainee-Culinary,宁波极富房地产开发有限公司滨湖半岛酒店分公司,浙江,2.4-3.0,1,专科及以上,酒店管理 旅游管理 西式烹饪工艺 烹饪工艺与营养,其他,100-499人,五险一金，带薪年假，岗位晋升，年终奖，提供住宿,2026-07-08 10:41,2F5JGLHTC8gio37TECUeHw
技术研发岗,安徽锦琅新材料科技有限公司,安徽,2.0-4.0,1,硕士及以上,高分子 应用化学 有机合成,民营企业,1-49人,,2026-07-08 10:15,RSzWhzfoir5arJnJYy8nx9
实习岗（辅助招生岗/后勤岗）,河南聚力中晖教育科技有限公司,河南,3.0-6.0,10,不限,不限,民营企业,1-49人,带薪年假，弹性工作，年终分红，股权激励，绩效奖金，年度旅游,2026-07-08 09:29,LFvgL7c65JHkEAu1KnYHpE
实习检测员,山东鲁勘集团有限公司,山东,2.2-3.5,5,专科及以上,工科、理科,民营企业,50-99人,,2026-07-08 09:07,JfYrJwHWU2ftjN93sdECvX
综合柜面岗（实习生）,明亚保险经纪股份有限公司,浙江,10.0-15.0,1,本科及以上,金融保险专业,股份制企业,5000以上,五险一金，岗位晋升，年终分红，股票期权，定期体检，年终奖，通讯津贴，节日礼物,2026-07-08 08:45,U6TmFHoRCyzPtPHJfFL7TS
规划编制,新疆维吾尔自治区喀什地区自然资源规划勘测院,新疆,0.1-0.2,5,本科及以上,城乡规划 生态 地质 园林 给排水,机关/事业单位/非营利机构,1-49人,五险一金，带薪年假，岗位晋升，技能培训,2026-07-07 17:05,8sBjAeT6e3XofyGuheoofT
GIS数据处理,新疆维吾尔自治区喀什地区自然资源规划勘测院,新疆,0.1-0.2,5,本科及以上,遥感科学与技术 地理信息科学,机关/事业单位/非营利机构,1-49人,五险一金，带薪年假，岗位晋升，技能培训,2026-07-07 17:01,WBzzFfAJcesGJJpKejf4h4
测绘外业,新疆维吾尔自治区喀什地区自然资源规划勘测院,新疆,0.1-0.2,5,本科及以上,测绘工程 工程测量 土地资源管理 国土资源,机关/事业单位/非营利机构,1-49人,五险一金，带薪年假，岗位晋升，技能培训,2026-07-07 16:59,KZxFH3u96syZ9tDe2VWqB1
陕西基地技术员,极光湾（宁波）智能科技有限公司,陕西,5.0-6.5,50,专科及以上,工业机器人技术 数控技术 新能源汽车技术 智能控制技术 智能焊接技术 机械制造及自动化 机械设计与制造 机电设备技术 汽车制造与试验技术 汽车检测与维修技术 现代物流管理 电气自动化技术,民营企业,500-999人,岗位晋升，提供住宿,2026-07-07 14:25,RrupWsY9QP9V8y285UezT7
生产维护技术员,上海麦宝食品有限公司,上海,5.0-6.0,50,专科及以上,食品智能加工 机电一体化 电气自动化 机械工程 数控技术,民营企业,100-499人,五险一金，技能培训，提供住宿,2026-07-07 14:06,3qQLTnJnDbeMZwRKT6nM17
营销助理（实习生）,北京中商全景咨询有限公司,北京,1.0-2.0,3,专科及以上,工商管理 市场营销 经济学 新闻出版 网络传播,民营企业,1-49人,五险一金，带薪年假，技能培训，股权激励，扁平管理，绩效奖金，交通补助，午餐补助，住房补助,2026-07-07 09:41,5cSSLuzcJW7LnUZRmAnaag
人力资源实习生（偏招聘）,国聘（成都）企业管理服务有限责任公司,四川,2.2-3.0,4,本科及以上,,股份制企业,100-499人,技能培训，弹性工作，年底双薪，年度旅游，交通补助,2026-07-07 02:50,wEt1gJGjYEkrba69WFdkY
新媒体运营（线上）,国聘（成都）企业管理服务有限责任公司,全国,3.0-6.0,10,本科及以上,,股份制企业,100-499人,技能培训，弹性工作，年底双薪，年度旅游，交通补助,2026-07-07 02:49,2pw5XjUdvpVj768TcRUUyo
助理猎头顾问,国聘（成都）企业管理服务有限责任公司,全国,7.0-10.0,4,本科及以上,,股份制企业,100-499人,技能培训，弹性工作，年底双薪，年度旅游，交通补助,2026-07-07 02:49,Uo6YPfFguNYcFpUaXhRKQg
北京-行政前台/会务服务/客房服务--实习生,北京文心壹企业管理有限公司,北京,3.8-3.8,30,专科及以上,空中乘务 民航服务 旅游管理 教育 电子商务 学前教育 护理 金融 音乐表演 视觉 设计 会展经济与管理 高速铁路客运服务 商务 英语,民营企业,1000-4999人,五险一金，岗位晋升，技能培训，扁平管理,2026-07-07 22:21,8gUoVo3FGJFm66St3faq2i
设计师 艺术手作设计 ,甘肃省清隅文化有限责任公司,甘肃,1.0-1.5,3,专科及以上,视觉传达设计 艺术设计 工艺美术,民营企业,1-49人,,2026-07-07 18:31,vJJA6S5dBLPrBTkq8vY58
外贸助理,鑫锦铭(上海)包装科技有限公司,上海,4.0-4.5,5,专科及以上,外贸 国际商务 国际经济与贸易,民营企业,1-49人,五险一金，技能培训，午餐补助，住房补助，通讯津贴,2026-07-07 17:21,2dgadavBC6XoK9PipKSwKf
数据分析,兆扑信息技术武汉有限公司,湖北,2.0-4.0,2,本科及以上,数据处理及大数据 数据科学与大数据技术 信息管理与信息系统 大数据管理与应用,民营企业,1-49人,,2026-07-07 16:55,6t5J389MicYRpyw35xHUuB
实习生,电子科技大学广东电子信息工程研究院,广东,2.0-2.5,1,本科及以上,,机关/事业单位/非营利机构,1-49人,,2026-07-07 16:45,RmnGJawQYHMSDfsDgnMJyA
工程测量测绘实习岗位,中奥新高（四川）建设有限公司,西藏,3.0-4.0,5,专科及以上,工程测量技术 土木工程,民营企业,100-499人,五险一金，岗位晋升，提供住宿,2026-07-07 16:40,9YSPjZwnVnFCWVTyLTU99L
化工行业可持续发展实习生,上海闵行区青悦环保信息技术服务中心,全国,4.0-5.0,1,本科及以上,环境科学 环境工程 化学,机关/事业单位/非营利机构,1-49人,,2026-07-07 16:25,Q7zTaEVNM1TsagzzQ87ukc
私域实习生,成都市迈格森教育咨询有限公司,四川,2.5-4.0,2,不限,,民营企业,100-499人,五险一金，技能培训，定期体检，绩效奖金，节日礼物,2026-07-07 16:15,KaS97b8gH6q1P3WcqejgJ5
中西餐接待,苏州市吴江东太湖大酒店有限公司,江苏,2.6-3.0,10,专科及以上,旅游酒店或者相关专业,国有企业,100-499人,,2026-07-07 15:53,EBJyxmDBvzqkUXjk8wuVdq
行政前台,苏州市吴江东太湖大酒店有限公司,江苏,3.0-5.0,10,专科及以上,酒店管理、旅游管理、人力资源管理、市场营销、会计、物业管理,国有企业,100-499人,,2026-07-07 15:53,SP5zHSAcY8vKpMKaPUH7bL
vip接待,苏州市吴江东太湖大酒店有限公司,江苏,4.0-6.0,20,专科及以上,酒店 旅游 会计 幼师,国有企业,100-499人,,2026-07-07 15:53,EebcfMyChwb8qtjz4KBMdQ
教学助理,童享时光（上海）文化发展有限公司,上海,3.0-5.0,30,专科及以上,幼师 艺术 旅游,民营企业,50-99人,,2026-07-07 15:45,Voz6mi6S2wDzFZk6BTWdpQ
课程顾问,童享时光（上海）文化发展有限公司,全国,3.0-5.0,50,专科及以上,专业不限,民营企业,50-99人,,2026-07-07 15:45,5i7ik4egstoQcaCY8wAFJG
票务班组，游船班组，游乐班组，商务班组，餐饮班组，观光车班组,童享时光（上海）文化发展有限公司,上海,3.0-5.0,20,专科及以上,专业不限,民营企业,50-99人,,2026-07-07 15:45,KLBKPrAvYGbgt5sRdZvW6h
陪玩导师,童享时光（上海）文化发展有限公司,全国,3.0-5.0,50,专科及以上,专业不限,民营企业,50-99人,,2026-07-07 15:45,FGRZ4oL3hnCTnmDhgKpVrg
前台接待、会务接待、礼宾员、收银员、中西餐厅服务员,童享时光（上海）文化发展有限公司,全国,3.0-5.0,20,专科及以上,酒店管理，旅游等,民营企业,50-99人,,2026-07-07 15:45,Xa3B5nYQTjTC2QinaP2CRv
检票员（游乐园）,童享时光（上海）文化发展有限公司,上海,3.0-5.0,25,专科及以上,专业不限,民营企业,50-99人,,2026-07-07 15:45,2NaeRL8hh9XgQYvUzSLKUr
活动成长老师,童享时光（上海）文化发展有限公司,全国,3.0-4.5,10,专科及以上,幼师/艺术,民营企业,50-99人,,2026-07-07 15:45,BtH6MaCyysHei38Hjx1MA7
销售专员（提供房补餐补）,中国大地财产保险股份有限公司揭阳中心支公司,广东,5.0-10.0,8,专科及以上,,国有企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，年终奖，绩效奖金，节日礼物，提供住宿，班车接送,2026-07-07 15:20,U9RBLwVATgbwpbAoaavZKD
餐厅服务员,宜兴大拈花湾文旅产业发展有限公司息壤酒店,江苏,2.6-3.2,3,不限,酒店管理，旅游管理，不限专业,民营企业,50-99人,,2026-07-07 13:37,TTBJPNpga7YkMpfD8gqBQ7
幼儿园老师（实习）,杭州学创教育科技有限公司,陕西,2.0-2.5,2,专科及以上,学前教育相关,民营企业,1-49人,,2026-07-07 13:36,SGpsD4NTBfj1sV4iaRDSfi
烹饪实习生,宜兴大拈花湾文旅产业发展有限公司息壤酒店,江苏,2.6-3.2,2,不限,烹饪相关专业,民营企业,50-99人,,2026-07-07 13:36,JTvZZrAw3kEY9BwFbAjtLj
猎头顾问培训生（深圳）,广州赛睿投资有限公司,广东,6.0-8.0,2,本科及以上,人力资源管理 工商管理,民营企业,100-499人,五险一金，带薪年假，技能培训，弹性工作，绩效奖金，通讯津贴，节日礼物，零食水果,2026-07-07 12:28,FP59KMo14T6ZWE2e5wUEt1
猎头实习生（北京）,广州赛睿投资有限公司,北京,2.2-5.0,2,本科及以上,人力资源管理 工商管理,民营企业,100-499人,五险一金，带薪年假，技能培训，弹性工作，绩效奖金，通讯津贴，节日礼物，零食水果,2026-07-07 12:28,Vi4ct2uMghAMUAQN4NAjQM
猎头顾问培训生（深圳）,广州赛睿投资有限公司,广东,2.0-2.5,0,本科及以上,,民营企业,100-499人,五险一金，带薪年假，技能培训，弹性工作，绩效奖金，通讯津贴，节日礼物，零食水果,2026-07-07 12:28,AhaChTwiVFoxBvV9mYzJ9A
广州猎头培训生,广州赛睿投资有限公司,广东,7.0-9.0,30,本科及以上,,民营企业,100-499人,五险一金，带薪年假，技能培训，弹性工作，绩效奖金，通讯津贴，节日礼物，零食水果,2026-07-07 12:28,Ps6ZUrfz2qSMPkzkN6j8tC
实习生,重庆博腾制药科技股份有限公司,重庆,2.0-4.0,1,专科及以上,,股份制企业,1000-4999人,,2026-07-07 11:58,M2tKnjLst2dyJJVs9f8nWq
轨道交通维修见习岗（顶岗实习）,广州众全机电工程有限公司深圳分公司,广东,3.0-4.0,10,不限,机电一体化 电气自动化 电气 自动化 通讯信号 工业机器人技术 智能控制系 动车组检修技术 城市轨道车辆应用技术 城市轨道交通运输管理 电力机车运用与维修 机械制造 机械电子工程 汽车维修 铁道信号自动控制 高速铁路综合维修技术 机车车辆 运输管理 智能制造 机电技术应用 工业机器人 铁道施工与养护 城市轨道交通 轨道交通 城轨机电 理工类 工科,民营企业,50-99人,岗位晋升，弹性工作，交通补助，节日礼物，提供住宿,2026-07-07 11:49,CMG5hgLwaqnM3sNS7m3c4A
质量检验管培生,合肥宸阳光电科技有限公司,安徽,4.5-7.0,20,专科及以上,机电 自动化 新能源,其他,100-499人,岗位晋升，技能培训，绩效奖金，午餐补助，高温补贴,2026-07-07 11:26,KQsvrQVUR2AqE8PoGCEDLo
设备技术管培生 ,合肥宸阳光电科技有限公司,安徽,4.5-7.0,20,专科及以上,机电 自动化 新能源,其他,100-499人,岗位晋升，技能培训，绩效奖金，午餐补助，高温补贴,2026-07-07 11:26,BRzrrG1SQvCddTD35tM62G
媒介助理（2027届）,露乐健康科技（上海）有限公司,上海,3.0-5.0,3,本科及以上,新闻 广告等相关专业,民营企业,1000-4999人,,2026-07-07 09:58,RjiaDsvZk4sQcDAp5AXuHB
学习规划师（课程顾问）,广州市天河区晓晓星火教育培训中心有限公司,广东,5.0-7.0,5,专科及以上,,民营企业,100-499人,五险一金，带薪年假，岗位晋升，定期体检，绩效奖金，节日礼物,2026-07-06 17:44,5AqPTBKuVPBetEkGrJTdEd
运营实习生,广州市天河区晓晓星火教育培训中心有限公司,广东,4.0-7.0,10,专科及以上,,民营企业,100-499人,五险一金，带薪年假，岗位晋升，定期体检，绩效奖金，节日礼物,2026-07-06 17:44,DXZfaxcEjaaQXENgT5kMCu
暑期建筑助教,广州星展毅然咨询有限公司,广东,2.0-3.0,2,本科及以上,建筑学 城市规划,民营企业,1-49人,五险一金，带薪年假，岗位晋升，弹性工作,2026-07-06 17:28,BkN1CLw8Z8b9U5DdUNdEb7
2026届大学实习生,厦门新能安科技有限公司,福建,6.0-7.0,50,专科及以上,,合资企业,5000以上,五险一金，岗位晋升，技能培训，年终奖，专项奖金，年度旅游，节日礼物,2026-07-06 13:31,5mKKVdCEv6svBw2q5NXJFN
数控/自动化设备操作类管培生,上海飞力勋铖电气科技有限公司,上海,3.0-5.0,2,专科及以上,数控 自动化 机械制造及自动化 机电一体化 机械设计 机械制造,民营企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金，年度旅游，免费加班餐，提供住宿,2026-07-06 12:20,RMUEndf2cjZLSD2tvDGbDV
酒店西餐厅服务员,上海西汇酒店管理有限公司,上海,3.0-3.1,5,专科及以上,酒店管理、旅游管理、商务英语、高铁空乘、文秘，不限专业，学前教育，不限专业,港澳台公司,100-499人,五险一金，带薪年假，年终奖，提供住宿,2026-07-06 10:01,Mm62znFqsQuUSX5h9JtDRL
酒店礼宾员,上海西汇酒店管理有限公司,上海,3.0-3.1,2,专科及以上,酒店管理、旅游管理、商务英语、高铁空乘、文秘，不限专业，学前教育，不限专业,港澳台公司,100-499人,五险一金，带薪年假，年终奖，提供住宿,2026-07-06 10:01,MXKbdXionfwLS8TGqB57Lh
前厅部 前台接待,苏州市吴江宾馆有限公司,江苏,4.0-4.5,5,专科及以上,旅游 酒店 康养 烹饪,国有企业,100-499人,五险一金，带薪年假，技能培训，定期体检，扁平管理，绩效奖金，高温补贴，提供住宿，班车接送,2026-07-06 08:29,P6p6RAdgwQSsqrYXyjZBQF
VIP接待,苏州市吴江宾馆有限公司,江苏,4.5-5.0,15,专科及以上,礼仪 酒店 旅游,国有企业,100-499人,五险一金，带薪年假，技能培训，定期体检，扁平管理，绩效奖金，高温补贴，提供住宿，班车接送,2026-07-06 08:29,GwUdJBbXTFcgcXLnRWH5Rz
五星级酒店餐饮接待,苏州市吴江宾馆有限公司,江苏,3.0-3.5,20,不限,酒店 餐饮 旅游 康体,国有企业,100-499人,五险一金，带薪年假，技能培训，定期体检，扁平管理，绩效奖金，高温补贴，提供住宿，班车接送,2026-07-06 08:29,XyH657zWP2NWpewbqGbefZ
实习生招聘--行政前台/会务服务/客房服务,北京文心壹企业管理有限公司,北京,3.5-4.0,30,专科及以上,酒店管理 空乘,民营企业,1000-4999人,五险一金，岗位晋升，技能培训，扁平管理,2026-07-06 23:00,AWYEaHqgfvR8f758hQUvWK
基恩士27届校园大使,基恩士（中国）有限公司,全国,3.0-7.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-06 18:46,Hs2QnaPpM6zaP3zKbtzpXW
基恩士27届校园大使,基恩士（中国）有限公司,全国,3.0-7.0,10,本科及以上,,外商独资/外企代表处,员工数量,,2026-07-06 18:44,Enzc67LmtkHR8zCyXcMx5C
海淀西二旗智能场景训练,北京瑞世盛誉科技发展有限公司,北京,5.5-7.5,30,专科及以上,,股份制企业,100-499人,,2026-07-06 17:59,16sYiLHJb7mjVUASccNQmz
电工,上海赛坤实业有限公司,上海,3.0-4.0,3,专科及以上,电气自动化,民营企业,1-49人,,2026-07-06 17:32,6nYh8eoX1KLtPWQHFfX9Va
电气工程师助理,上海赛坤实业有限公司,上海,3.0-4.0,3,本科及以上,电气自动化,民营企业,1-49人,,2026-07-06 17:29,LRgHm1rp4GdGJvQzhQcKyt
电气工程师助理,上海赛坤实业有限公司,上海,3.0-5.0,6,本科及以上,电气自动化，工业企业自动化,民营企业,1-49人,,2026-07-06 17:27,GEh7yupM3bmzqSy1p1a9NU
财务岗（实习生）,西安高新区国有资产管理运营有限公司,陕西,1.0-2.0,8,本科及以上,,国有企业,100-499人,,2026-07-06 17:11,3YVD7F9ajvSKemoG7VnugZ
组装技术员,河南西通电梯有限公司,江苏,5.5-6.5,50,不限,,民营企业,50-99人,,2026-07-06 17:03,W4mCfZpr7arJmuhnZLZ2tE
马鞍山 智能场景训练,北京瑞世盛誉科技发展有限公司,安徽,4.0-5.0,10,专科及以上,,股份制企业,100-499人,,2026-07-06 16:46,NVJMHA2EoNQWF7r4tdSFs6
行政人事,晨珲信息科技（广州）有限公司,广东,6.0-8.0,1,专科及以上,,民营企业,1-49人,,2026-07-06 16:44,VDPWxgomNpggDudfAw2ceM
河西区肯德基楼面经理急招就近分配实习可提供实习证明,天津肯德基有限公司,天津,3.5-4.5,2,专科及以上,不限,外商独资/外企代表处,5000以上,,2026-07-06 15:29,CcgSU5gEGZUVxRkqLmoyPC
造价员预算员实习生,惠州秦汉工程管理有限公司,广东,1.5-2.0,10,专科及以上,工程造价、建筑工程,民营企业,1-49人,,2026-07-06 15:07,U7kQCAj4AMwMJ3DCmFjv7z
销售岗位管理培训生,上海飞力勋铖电气科技有限公司,上海,4.0-6.0,2,专科及以上,电气工程 自动控制 机械设计及制造 企业管理 工商管理 市场营销 英语 商务英语,民营企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，定期体检，绩效奖金，年度旅游，免费加班餐，提供住宿,2026-07-06 12:20,ZDwWGfvCsdnfWxdmZJJLC
质检员,赣州移远科技有限公司,江西,4.3-5.5,17,专科及以上,机电类、自动化类、机械类、物联网及计算机类、工业工程、工业机器人类，电气类，仪器仪表类等理工相关专业,民营企业,1000-4999人,,2026-07-06 12:17,M5GYByuDnEncaiuDGNxzWL
生物试剂耗材销售代表,广州拓山生物科技有限公司,广东,5.0-8.0,1,本科及以上,生物，食品，药品,民营企业,1-49人,,2026-07-06 10:52,Eix83xNxGkKTaRWm8htRcq
短视频剪辑,合肥昭牧网络科技有限公司,安徽,4.0-6.0,5,不限,摄影 广电 新媒体相关,民营企业,1-49人,五险一金，绩效奖金,2026-07-06 10:42,D9AKDLk3fc84Dq8VmxP2D8
销售经理（实习）,广东省珠海广弘医药进出口有限公司,全国,2.0-5.0,5,本科及以上,医学、药学相关专业，市场营销,国有企业,100-499人,五险一金，带薪年假，岗位晋升，技能培训，定期体检，扁平管理，绩效奖金，提供住宿,2026-07-06 10:40,CZVKkp7ydMcd7zcqoVqHf4
中餐西餐接待,苏州高新商旅发展有限公司狮山国际会议中心,江苏,3.0-5.0,30,不限,酒店 旅游 空乘 航空 会计,国有企业,100-499人,五险一金，岗位晋升，技能培训，定期体检，年度旅游，高温补贴，提供住宿，班车接送,2026-07-06 10:31,VHPtEtGG89dA95iCwPe3g7
前厅部,苏州高新商旅发展有限公司狮山国际会议中心,江苏,3.0-5.0,30,专科及以上,酒店管理 旅游管理 会计 航空 空乘,国有企业,100-499人,五险一金，岗位晋升，技能培训，定期体检，年度旅游，高温补贴，提供住宿，班车接送,2026-07-06 10:31,9gM8zQFVmdSkXceuGbW9yK
前台接待,苏州高新商旅发展有限公司狮山国际会议中心,江苏,3.0-5.0,30,不限,酒店 旅游 会计 电商 航空,国有企业,100-499人,五险一金，岗位晋升，技能培训，定期体检，年度旅游，高温补贴，提供住宿，班车接送,2026-07-06 10:31,6YBvvferzo3jateegNoanA
中餐、后厨、西餐 实习生,苏州新梅华餐饮管理有限公司,江苏,3.0-5.0,20,不限,后厨 酒店 旅游,民营企业,500-999人,五险一金，岗位晋升，技能培训，绩效奖金，年度旅游，节日礼物，免费加班餐，提供住宿,2026-07-06 10:28,BohPyHRNrgXj1MgiWdx1sD
园林景观工程设计实习生,建学建筑与工程设计所有限公司广东分公司,广东,3.0-3.0,2,本科及以上,园林景观 环境设计,民营企业,100-499人,,2026-07-06 10:08,ipJJitksjUiZZxYM5o75F
服务器测试工程师,威尔创新（天津）科技发展有限公司,天津,3.0-7.0,1,专科及以上,计算机相关专业 信息安全与管理,民营企业,50-99人,五险一金，带薪年假，岗位晋升，技能培训，绩效奖金，节日礼物，免费加班餐,2026-07-06 09:55,8Aa9kThE15rpknk9ifVGTb
AI 模型优化标注岗：AI 训练师（居家线上兼职）,安徽飞数信息科技有限公司,全国,2.5-3.0,200,本科及以上,1、本科及以上学历 方向一：基础医学、药学、临床医学及生物医学相关专业 方向二：计算机、人工智能等相关专业 方向三：化学等相关专业 方向四：艺术类相关专业,民营企业,1000-4999人,,2026-07-06 09:44,PQVpZ9gHar1JGcU77ukD1f
产品分享员,上海苏香木兰健康科技有限公司,全国,0.1-0.1,9999,不限,不限,民营企业,100-499人,,2026-07-06 09:29,UEkwmAgxStBSb5tJje9t9t
理科教育助理教研员（教育领域）,安徽飞数信息科技有限公司,安徽,2.5-3.0,3,本科及以上,理科相关专业背景为硬性要求，如科学教育、物化生地理、教育技术等相关专业,民营企业,1000-4999人,,2026-07-06 09:28,5J9oDbyufh52uZq15G9FKC
财务专员,清远北江交旅经营管理有限公司,广东,2.8-3.3,2,本科及以上,会计学、财务管理、审计学、税收学,国有企业,100-499人,午餐补助，零食水果,2026-07-06 09:25,JeKkJBj8D9evQvSrJrFPxs
软件测试实习助理,北京泛舟起航科技有限公司,北京,3.0-4.0,20,本科及以上,计科 物联网 电子信息 软件工程 自动化 信息管理 数据科学与大数据,民营企业,100-499人,,2026-07-06 09:12,V9FJVHSERriKEfcA9HVzim
数据标注工程师,河南省云台实业有限公司,浙江,5.0-7.0,200,专科及以上,软件工程 大数据 计算机 统计学 语言学,民营企业,50-99人,,2026-07-06 08:49,5PahPxn5a7tkbkMdwvPzrh
暑假工2028届2029届,浙江寿海农业开发有限公司,江西,2.0-3.0,10,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,1-49人,,2026-07-05 11:56,TCfh5yUJA5kYcPZAEUpmuo
人工智能实习生2027届,安徽三颗花生网络科技有限公司,福建,2.0-4.5,4,专科及以上,计算机，人工智能，建筑，设计，工程，软件，互联网，电子商务,民营企业,50-99人,,2026-07-05 18:54,BnfKJ8Fazb7CCFyaoShNXV
短期勤工俭学岗位1—2个月,上汽大众汽车有限公司宁波分公司,江苏,5.0-6.5,25,专科及以上,不限专业,合资企业,5000以上,五险一金，带薪年假，定期体检，年终奖，交通补助，午餐补助，高温补贴，节日礼物，提供住宿,2026-07-04 16:38,7YZQQcAWLMfmrgELb9pYtr
写字楼招商经理,郑州星原房地产经纪有限公司,河南,4.0-10.0,5,本科及以上,不限专业,民营企业,50-99人,带薪年假，技能培训，弹性工作，年终分红，股权激励，扁平管理，绩效奖金，年度旅游，节日礼物，提供住宿,2026-07-04 16:34,B4ydQQVqrURpmf2R7fDrrN
财务实习岗,浙江东竹生物科技股份有限公司,浙江,2.0-3.0,1,本科及以上,会计学 财务管理,民营企业,1-49人,五险一金，岗位晋升，弹性工作，年终分红，午餐补助,2026-07-04 08:25,Num356y7yqY3LtCY6F1uHi
芯片封测员,华天科技（江苏）有限公司,江苏,6.0-7.0,220,专科及以上,理工类 计算机 人工智能 等,民营企业,5000以上,,2026-07-04 16:44,RhB8V7ZWAh4kME2KHB341u
沙雕漫剧创造师＋长白班＋oo后氛围好,圆木禾(银川)大数据科技有限公司,宁夏,3.0-5.0,20,专科及以上,动漫设计，制作类 计算机类 服务类 不限专业,民营企业,500-999人,,2026-07-04 15:38,KK2gXy4bWDC6QbYMXwyhFQ
动漫制作工程师＋五险一金＋朝九晚六,圆木禾(银川)大数据科技有限公司,宁夏,3.0-5.0,20,专科及以上,动漫设计，制作类 计算机类 服务类 不限专业,民营企业,500-999人,,2026-07-04 15:38,4iGjYjBp1buwEVYJfx9qQD
外贸业务跟单实习生,宁波安凯莱家具有限公司,浙江,2.0-3.0,2,本科及以上,国际贸易专业,民营企业,1-49人,,2026-07-04 12:31,MsfT54rx6CP5efcGEJernW
家具设计实习生,宁波安凯莱家具有限公司,浙江,2.0-3.0,2,本科及以上,家具设计。 产品设计。工业设计,民营企业,1-49人,,2026-07-04 12:31,FF1J1B2usKpa3BrSpYoEWE
预备技师（7月面试入职）,中南教育科技（深圳）有限公司,广东,8.0-12.0,30,专科及以上,机械设计制造及其自动化 电气自动化技术 机电体化 计算机应用技术 智能控制技术 智能机器人技术、智能制造装备技术 模具设计与制造,民营企业,50-99人,,2026-07-04 11:59,76qyU9H9DZPi7QZhAVVimH
技工（拿毕业证后转正）,中南教育科技（深圳）有限公司,广东,5.5-7.5,50,专科及以上,机械设计制造及其自动化 电气自动化技术 机电体化 计算机应用技术 智能控制技术 智能机器人技术、智能制造装备技术 模具设计与制造,民营企业,50-99人,,2026-07-04 11:32,PHtLAkhHGnxzdxh6CbVsgV
烹饪实习生,苏州太湖国际高尔夫俱乐部有限公司,江苏,2.6-3.5,2,不限,烹饪相关专业,合资企业,100-499人,,2026-07-04 11:08,HHhQ1qTLUvq1RTNPUHSrvn
汽车生产制造类岗位,重庆长安汽车股份有限公司,重庆,4.5-8.0,30,专科及以上,,国有企业,5000以上,五险一金，带薪年假，定期体检，年终奖，高温补贴,2026-07-03 13:11,FhX6jN5mrk6i85HPzftkR7
运营管培生,广州市天河区晓晓星火教育培训中心有限公司,广东,3.5-6.0,30,专科及以上,教育 管理 工商 市场营销 电子商务 金融 新媒体,民营企业,100-499人,五险一金，带薪年假，岗位晋升，定期体检，绩效奖金，节日礼物,2026-07-03 18:12,27fMwWXvYzPALhqSRobG5T
中移在线10086热线客服,四川皓晟信息技术有限公司,四川,4.0-8.0,50,不限,客服 旅游 电子商务 礼仪 酒店,民营企业,100-499人,带薪年假，岗位晋升，扁平管理，节日礼物,2026-07-03 17:57,H6LUdu6ioqJAd2CKFYGmWF
电池 PACK 总装操作工,衢州极电电动汽车技术有限公司,浙江,5.0-8.0,30,专科及以上,材料 电化学 新能源 车辆工程 电气 机械 机电一体化 电机 自动化 能源工程 电气工程 储能 工业工程 物流管理 汽车制造与装配技术 汽车制造类 建筑工程技术 计算机应用技术 车辆工程 机械设计制造及其自动化 机电一体化技术 工业机器人技术 新能源汽车技术 电气自动化 土木工程 电子应用技术 物联网技术 数控技术 智能焊接技术 轨道交通运输 土木水利 城市轨道交通运营管理 建筑装饰工程技术 工商企业 机械相关专业,民营企业,1000-4999人,五险一金，带薪年假，岗位晋升，技能培训，弹性工作，提供住宿，班车接送,2026-07-03 14:23,TCEqARE66rpBXs7SSphqVz
实习生,北京易低优科技有限公司,北京,5.0-10.0,16,专科及以上,无,民营企业,50-99人,五险一金，岗位晋升，弹性工作，定期体检，扁平管理，绩效奖金，节日礼物，零食水果,2026-07-03 14:14,LrqFWQJN7eweQWsUfJ3Ram
房产置业顾问,株洲新环境房地产经纪有限公司,湖南,3.0-10.0,5,专科及以上,专业不限,民营企业,1000-4999人,五险一金，岗位晋升，技能培训，弹性工作，绩效奖金,2026-07-03 11:44,Gf4dD9WdtovDYf4dcbPgsx
【国企】澳柯玛2027 届实习生,澳柯玛股份有限公司制造分公司,山东,5.0-6.0,30,专科及以上,机电一体化、机械制造与自动化、智能控制、工业机器人、电气自动化、数控技术、智能焊接、计算机网络技术 模具设计与制造、人工智能技术应用、建筑工程技术、新能源汽车技术、,国有企业,1000-4999人,五险一金，岗位晋升，技能培训，年终分红，股权激励，提供住宿,2026-07-03 09:25,ED17cT1RGDrJuvYaKkbn7Q
